# test_for_audio_implicit_full — FULL-RES (256x512) results

Radial depth, scene_split (72/9/9), loaded from actual files at 256x512 (no 64x128 downsampling). cos-lat weighted metrics. seed = mean ± std.

**Progress: 340/351 trained runs evaluated (of 93 total jobs).**

| model (seed-grouped) | n | test MAE ↓ | MAE_plain | (64×128 plain) | MAE_low | δ<1.25 ↑ | shuffle MAE | mirror_better |
|---|---|---|---|---|---|---|---|---|
| Q8_csa_wrel05_normal10 | 1 | 0.8803 | 0.7397 | — | 0.8428 | 0.461 | — | 0.245 |
| Q8_csa_win7 | 1 | 0.8820 | 0.7420 | — | 0.8444 | 0.467 | — | 0.249 |
| Q8_csa_wrel05_normal05_wscale10 | 1 | 0.8824 | 0.7417 | — | 0.8451 | 0.461 | — | 0.243 |
| Q13_loss_rel03_scale10 | 1 | 0.8829 | 0.7423 | — | 0.8454 | 0.462 | — | 0.246 |
| Q13_loss_grad10 | 1 | 0.8830 | 0.7424 | — | 0.8448 | 0.463 | — | 0.249 |
| Q8_csa_wlow15 | 1 | 0.8831 | 0.7431 | — | 0.8446 | 0.461 | — | 0.249 |
| Q8_csa_wrel03_wlow075 | 1 | 0.8838 | 0.7442 | — | 0.8463 | 0.464 | — | 0.249 |
| Q8_csa_gated_normal10_wrel05 | 1 | 0.8839 | 0.7426 | — | 0.8464 | 0.461 | — | 0.256 |
| Q8_csa_wlow075 | 1 | 0.8843 | 0.7434 | — | 0.8464 | 0.463 | — | 0.240 |
| Q13_loss_rel03_normal10 | 1 | 0.8846 | 0.7433 | — | 0.8469 | 0.459 | — | 0.261 |
| Q7_csa_norel_wscale10 | 1 | 0.8848 | 0.7468 | — | 0.8478 | 0.464 | — | 0.254 |
| Q7_csa_wrel03_wscale10 | 1 | 0.8853 | 0.7478 | — | 0.8484 | 0.465 | — | 0.241 |
| Q13_loss_grad05 | 1 | 0.8856 | 0.7441 | — | 0.8480 | 0.462 | — | 0.245 |
| Q8_w20_csa_wrel05 | 1 | 0.8863 | 0.7432 | — | 0.8479 | 0.461 | — | 0.251 |
| Q7_csa_wrel05_wscale10 | 1 | 0.8868 | 0.7473 | — | 0.8495 | 0.459 | — | 0.251 |
| Q7_csa_norel | 1 | 0.8872 | 0.7460 | — | 0.8493 | 0.461 | — | 0.248 |
| Q8_csa_wrel05_lr3e4 | 1 | 0.8881 | 0.7497 | — | 0.8507 | 0.458 | — | 0.245 |
| Q8_csa_win9 | 1 | 0.8883 | 0.7484 | — | 0.8508 | 0.464 | — | 0.262 |
| Q13_loss_wlow0 | 1 | 0.8884 | 0.7479 | — | 0.8502 | 0.462 | — | 0.246 |
| Q8_csa_gated_wlow075_wrel05 | 1 | 0.8885 | 0.7494 | — | 0.8508 | 0.455 | — | 0.250 |
| Q5_e34_champion | 1 | 0.8887 | 0.7472 | — | 0.8522 | 0.461 | — | 0.244 |
| Q13_loss_rel03_grad05 | 1 | 0.8889 | 0.7501 | — | 0.8509 | 0.460 | — | 0.255 |
| Q8_csa_normal10 | 1 | 0.8891 | 0.7512 | — | 0.8512 | 0.457 | — | 0.255 |
| Q17_csa_raz_normal | 1 | 0.8896 | 0.7476 | — | 0.8522 | 0.460 | — | 0.260 |
| Q2_unet_rel10_normal | 1 | 0.8900 | 0.7469 | — | 0.8535 | 0.457 | — | 0.276 |
| Q8_csa_wrel05_win7 | 1 | 0.8901 | 0.7484 | — | 0.8531 | 0.464 | — | 0.244 |
| Q13_loss_rel03_silog25 | 1 | 0.8904 | 0.7482 | — | 0.8520 | 0.440 | — | 0.255 |
| Q13_loss_silog25 | 1 | 0.8906 | 0.7489 | — | 0.8523 | 0.446 | — | 0.267 |
| Q7_csa_gated_wrel05 | 1 | 0.8907 | 0.7498 | — | 0.8536 | 0.459 | — | 0.252 |
| Q15_csa_base_w20 | 1 | 0.8909 | 0.7483 | — | 0.8523 | 0.458 | — | 0.249 |
| Q8_csa_wscale30 | 1 | 0.8912 | 0.7468 | — | 0.8525 | 0.459 | — | 0.251 |
| Q5_e29_gated | 1 | 0.8913 | 0.7493 | — | 0.8548 | 0.460 | — | 0.254 |
| Q14_gamma_n05 | 1 | 0.8913 | 0.7485 | — | 0.8553 | 0.465 | — | 0.249 |
| Q8_csa_lr3e4 | 1 | 0.8915 | 0.7508 | — | 0.8530 | 0.458 | — | 0.256 |
| Q15_unet_norm_w30 | 1 | 0.8916 | 0.7461 | — | 0.8527 | 0.445 | — | 0.279 |
| Q17_csa_raz | 1 | 0.8919 | 0.7484 | — | 0.8540 | 0.457 | — | 0.259 |
| Q14_berhu_rel03 | 1 | 0.8919 | 0.7501 | — | 0.8538 | 0.459 | — | 0.254 |
| Q11_zc4_sinIPD | 1 | 0.8919 | 0.7469 | — | 0.8541 | 0.454 | — | 0.282 |
| Q7_csa_wrel05 | 1 | 0.8920 | 0.7504 | — | 0.8552 | 0.457 | — | 0.258 |
| Bnode2_gcc_unet8 | 3 | 0.8923 ± 0.0059 | 0.7483 ± 0.0043 | — | 0.8543 ± 0.0055 | 0.453 ± 0.004 | 1.1396 ± 0.0021 | 0.282 ± 0.001 |
| Q8_csa_wscale20 | 1 | 0.8928 | 0.7487 | — | 0.8543 | 0.460 | — | 0.254 |
| Q7_csa_gated_wrel05_grad05 | 1 | 0.8931 | 0.7525 | — | 0.8557 | 0.453 | — | 0.262 |
| Q10_vit_5ch | 1 | 0.8932 | 0.7492 | — | 0.8550 | 0.454 | — | 0.259 |
| Q7_csa_wrel03 | 3 | 0.8933 ± 0.0077 | 0.7516 ± 0.0069 | — | 0.8556 ± 0.0078 | 0.455 ± 0.005 | — | 0.254 ± 0.006 |
| Bnode2_unet8_5chflip | 3 | 0.8933 ± 0.0057 | 0.7495 ± 0.0055 | — | 0.8559 ± 0.0058 | 0.455 ± 0.002 | 1.1431 ± 0.0023 | 0.274 ± 0.004 |
| Q15_csa_norm_w40 | 1 | 0.8933 | 0.7511 | — | 0.8556 | 0.455 | — | 0.264 |
| Q9_ground_planarlsa | 1 | 0.8935 | 0.7542 | — | 0.8571 | 0.460 | — | 0.253 |
| Bnode2_unet8_5chflip_w20 | 3 | 0.8935 ± 0.0028 | 0.7513 ± 0.0049 | — | 0.8559 ± 0.0028 | 0.450 ± 0.006 | 1.1493 ± 0.0064 | 0.276 ± 0.005 |
| Q12_unet_wrel03_amp | 1 | 0.8936 | 0.7516 | — | 0.8551 | 0.452 | — | 0.269 |
| Q15_csa_norm_w30 | 1 | 0.8936 | 0.7500 | — | 0.8546 | 0.453 | — | 0.261 |
| Q12_unet_wrel03 | 3 | 0.8938 ± 0.0019 | 0.7513 ± 0.0026 | — | 0.8567 ± 0.0020 | 0.456 ± 0.005 | — | 0.261 ± 0.005 |
| Q11_zc3_cosIPD | 1 | 0.8939 | 0.7513 | — | 0.8564 | 0.457 | — | 0.262 |
| Q11_zc0_logL | 1 | 0.8941 | 0.7491 | — | 0.8556 | 0.447 | — | 0.275 |
| Q17_csa_micsh | 1 | 0.8941 | 0.7542 | — | 0.8569 | 0.461 | — | 0.259 |
| Q7_csa_wrel05_wlow10 | 1 | 0.8941 | 0.7539 | — | 0.8573 | 0.455 | — | 0.265 |
| Q17_csa_shpe | 1 | 0.8948 | 0.7536 | — | 0.8574 | 0.457 | — | 0.259 |
| U_unet8_normal | 1 | 0.8949 | 0.7518 | — | 0.8566 | 0.456 | 1.1319 | 0.288 |
| Q11_zc1_logR | 1 | 0.8949 | 0.7521 | — | 0.8576 | 0.455 | — | 0.269 |
| Q7_csa_gated_norel | 1 | 0.8953 | 0.7532 | — | 0.8571 | 0.455 | — | 0.250 |
| Q17_csa_micpe | 1 | 0.8954 | 0.7541 | — | 0.8578 | 0.455 | — | 0.258 |
| Q13_loss_wcoarse0 | 1 | 0.8960 | 0.7521 | — | 0.8577 | 0.450 | — | 0.253 |
| Q5_e22_coarsesa | 3 | 0.8960 ± 0.0077 | 0.7545 ± 0.0063 | — | 0.8597 ± 0.0074 | 0.457 ± 0.003 | — | 0.250 ± 0.002 |
| Q6_csaonly | 2 | 0.8966 ± 0.0020 | 0.7533 ± 0.0001 | — | 0.8599 ± 0.0014 | 0.458 ± 0.004 | — | 0.260 ± 0.011 |
| Q8_csa_chamfer10 | 1 | 0.8968 | 0.7535 | — | 0.8581 | 0.459 | — | 0.263 |
| B_unet8_5ch | 3 | 0.8969 ± 0.0007 | 0.7528 ± 0.0019 | — | 0.8587 ± 0.0009 | 0.454 ± 0.003 | 1.1536 ± 0.0055 | 0.265 ± 0.009 |
| Q12_unet_wrel03_wscale10 | 1 | 0.8969 | 0.7518 | — | 0.8597 | 0.451 | — | 0.273 |
| Q14_berhu | 1 | 0.8971 | 0.7506 | — | 0.8572 | 0.458 | — | 0.261 |
| Q11_zc2_ILD | 1 | 0.8976 | 0.7537 | — | 0.8593 | 0.451 | — | 0.286 |
| Q2_unet_rel13 | 1 | 0.8979 | 0.7549 | — | 0.8620 | 0.465 | — | 0.249 |
| Q9_ground_full | 1 | 0.8991 | 0.7564 | — | 0.8621 | 0.455 | — | 0.255 |
| Q2_unet_rel10 | 2 | 0.8995 ± 0.0032 | 0.7549 ± 0.0031 | — | 0.8630 ± 0.0031 | 0.459 ± 0.004 | — | 0.262 ± 0.005 |
| Q2_unet_rel10_amp | 1 | 0.8999 | 0.7573 | — | 0.8640 | 0.459 | — | 0.256 |
| Q14_gamma_p05_rel03 | 1 | 0.9000 | 0.7541 | — | 0.8612 | 0.461 | — | 0.245 |
| Q15_csa_base_w30 | 1 | 0.9002 | 0.7582 | — | 0.8615 | 0.453 | — | 0.256 |
| Q17_unet_raz | 1 | 0.9003 | 0.7577 | — | 0.8623 | 0.451 | — | 0.267 |
| Q2_w20_rel10 | 1 | 0.9010 | 0.7543 | — | 0.8637 | 0.454 | — | 0.272 |
| U_unet8_chamfer | 1 | 0.9010 | 0.7560 | — | 0.8631 | 0.453 | — | 0.269 |
| Q8_gcc_csa_norel | 1 | 0.9010 | 0.7576 | — | 0.8629 | 0.456 | — | 0.271 |
| Q16_unet_ic3 | 3 | 0.9015 ± 0.0024 | 0.7558 ± 0.0024 | — | 0.8636 ± 0.0025 | 0.448 ± 0.001 | — | 0.278 ± 0.001 |
| Q2_unet_rel05 | 1 | 0.9018 | 0.7581 | — | 0.8650 | 0.457 | — | 0.261 |
| Q16_unet_ic2 | 3 | 0.9018 ± 0.0030 | 0.7566 ± 0.0003 | — | 0.8640 ± 0.0025 | 0.453 ± 0.003 | — | 0.280 ± 0.004 |
| Bnode2_cross_flip_nr1024 | 2 | 0.9022 ± 0.0016 | 0.7593 ± 0.0019 | — | 0.8642 ± 0.0017 | 0.447 ± 0.003 | — | 0.233 ± 0.004 |
